episode,total_reward,avg_reward,grader_score,turns,termination,good_prob
0,-0.31,-0.062,0.255,5,time_out,0.0067
1,-0.45999999999999996,-0.092,0.255,5,time_out,0.007
2,-0.45999999999999996,-0.092,0.255,5,time_out,0.0074
3,-0.45999999999999996,-0.092,0.255,5,time_out,0.0078
4,-0.45999999999999996,-0.092,0.255,5,time_out,0.0082
5,-0.21,-0.041999999999999996,0.255,5,time_out,0.0086
6,-0.21,-0.041999999999999996,0.255,5,time_out,0.009
7,-0.31,-0.062,0.255,5,time_out,0.0095
8,-0.45999999999999996,-0.092,0.255,5,time_out,0.01
9,-0.31,-0.062,0.255,5,time_out,0.0105
10,-0.21,-0.041999999999999996,0.255,5,time_out,0.011
11,-0.31,-0.062,0.255,5,time_out,0.0116
12,-0.31,-0.062,0.255,5,time_out,0.0122
13,-0.31,-0.062,0.255,5,time_out,0.0128
14,-0.45999999999999996,-0.092,0.255,5,time_out,0.0134
15,-0.45999999999999996,-0.092,0.255,5,time_out,0.0141
16,-0.31,-0.062,0.255,5,time_out,0.0148
17,-0.21,-0.041999999999999996,0.255,5,time_out,0.0156
18,-0.45999999999999996,-0.092,0.255,5,time_out,0.0164
19,-0.21,-0.041999999999999996,0.255,5,time_out,0.0172
20,0.745,0.745,0.92,1,completed,0.0181
21,-0.45999999999999996,-0.092,0.255,5,time_out,0.019
22,0.7,0.35,0.88,2,completed,0.0199
23,0.73,0.365,0.88,2,completed,0.021
24,-0.21,-0.041999999999999996,0.255,5,time_out,0.022
25,-0.31,-0.062,0.255,5,time_out,0.0231
26,-0.21,-0.041999999999999996,0.255,5,time_out,0.0243
27,-0.21,-0.041999999999999996,0.255,5,time_out,0.0255
28,-0.45999999999999996,-0.092,0.255,5,time_out,0.0268
29,0.705,0.235,0.81,3,completed,0.0281
30,-0.21,-0.041999999999999996,0.255,5,time_out,0.0295
31,-0.45999999999999996,-0.092,0.255,5,time_out,0.031
32,-0.45999999999999996,-0.092,0.255,5,time_out,0.0325
33,-0.21,-0.041999999999999996,0.255,5,time_out,0.0342
34,-0.21,-0.041999999999999996,0.255,5,time_out,0.0359
35,-0.21,-0.041999999999999996,0.255,5,time_out,0.0376
36,-0.31,-0.062,0.255,5,time_out,0.0395
37,-0.21,-0.041999999999999996,0.255,5,time_out,0.0415
38,-0.21,-0.041999999999999996,0.255,5,time_out,0.0435
39,-0.45999999999999996,-0.092,0.255,5,time_out,0.0456
40,-0.31,-0.062,0.255,5,time_out,0.0479
41,-0.31,-0.062,0.255,5,time_out,0.0502
42,-0.21,-0.041999999999999996,0.255,5,time_out,0.0527
43,-0.45999999999999996,-0.092,0.255,5,time_out,0.0552
44,-0.31,-0.062,0.255,5,time_out,0.0579
45,-0.31,-0.062,0.255,5,time_out,0.0607
46,0.605,0.20166666666666666,0.81,3,completed,0.0637
47,-0.31,-0.062,0.255,5,time_out,0.0667
48,-0.21,-0.041999999999999996,0.255,5,time_out,0.0699
49,-0.45999999999999996,-0.092,0.255,5,time_out,0.0733
50,-0.31,-0.062,0.255,5,time_out,0.0767
51,0.35500000000000004,0.07100000000000001,0.75,5,completed,0.0804
52,-0.31,-0.062,0.255,5,time_out,0.0842
53,0.75,0.375,0.88,2,completed,0.0881
54,-0.45999999999999996,-0.092,0.255,5,time_out,0.0923
55,-0.45999999999999996,-0.092,0.255,5,time_out,0.0965
56,-0.21,-0.041999999999999996,0.255,5,time_out,0.101
57,-0.45999999999999996,-0.092,0.255,5,time_out,0.1057
58,0.705,0.235,0.81,3,completed,0.1105
59,-0.45999999999999996,-0.092,0.255,5,time_out,0.1156
60,0.6649999999999999,0.22166666666666665,0.81,3,completed,0.1208
61,0.73,0.365,0.88,2,completed,0.1262
62,-0.21,-0.041999999999999996,0.255,5,time_out,0.1319
63,0.6649999999999999,0.22166666666666665,0.81,3,completed,0.1377
64,-0.31,-0.062,0.255,5,time_out,0.1438
65,-0.31,-0.062,0.255,5,time_out,0.1501
66,0.49999999999999994,0.12499999999999999,0.75,4,completed,0.1566
67,-0.45999999999999996,-0.092,0.255,5,time_out,0.1634
68,0.745,0.745,0.92,1,completed,0.1704
69,0.75,0.375,0.88,2,completed,0.1776
70,0.745,0.745,0.92,1,completed,0.1851
71,-0.31,-0.062,0.255,5,time_out,0.1928
72,0.7,0.35,0.88,2,completed,0.2007
73,0.6649999999999999,0.22166666666666665,0.81,3,completed,0.2089
74,0.75,0.375,0.88,2,completed,0.2173
75,0.745,0.745,0.92,1,completed,0.226
76,0.73,0.365,0.88,2,completed,0.2349
77,0.6649999999999999,0.22166666666666665,0.81,3,completed,0.244
78,-0.45999999999999996,-0.092,0.255,5,time_out,0.2534
79,0.7,0.35,0.88,2,completed,0.2631
80,0.745,0.745,0.92,1,completed,0.2729
81,0.6499999999999999,0.16249999999999998,0.75,4,completed,0.283
82,0.7,0.35,0.88,2,completed,0.2933
83,0.73,0.365,0.88,2,completed,0.3038
84,0.705,0.235,0.81,3,completed,0.3146
85,0.7,0.35,0.88,2,completed,0.3255
86,-0.45999999999999996,-0.092,0.255,5,time_out,0.3366
87,0.7,0.35,0.88,2,completed,0.3479
88,0.59,0.1475,0.75,4,completed,0.3594
89,0.745,0.745,0.92,1,completed,0.3711
90,0.745,0.745,0.92,1,completed,0.3829
91,0.745,0.745,0.92,1,completed,0.3948
92,0.73,0.365,0.88,2,completed,0.4069
93,0.745,0.745,0.92,1,completed,0.4191
94,0.555,0.11100000000000002,0.75,5,completed,0.4313
95,0.75,0.375,0.88,2,completed,0.4437
96,0.73,0.365,0.88,2,completed,0.4561
97,-0.45999999999999996,-0.092,0.255,5,time_out,0.4686
98,0.73,0.365,0.88,2,completed,0.4812
99,0.745,0.745,0.92,1,completed,0.4937
100,0.7,0.35,0.88,2,completed,0.5063
101,0.75,0.375,0.88,2,completed,0.5188
102,0.745,0.745,0.92,1,completed,0.5314
103,0.75,0.375,0.88,2,completed,0.5439
104,0.605,0.20166666666666666,0.81,3,completed,0.5563
105,0.745,0.745,0.92,1,completed,0.5687
106,0.75,0.375,0.88,2,completed,0.5809
107,0.745,0.745,0.92,1,completed,0.5931
108,0.745,0.745,0.92,1,completed,0.6052
109,0.745,0.745,0.92,1,completed,0.6171
110,0.745,0.745,0.92,1,completed,0.6289
111,0.745,0.745,0.92,1,completed,0.6406
112,0.745,0.745,0.92,1,completed,0.6521
113,0.745,0.745,0.92,1,completed,0.6634
114,0.745,0.745,0.92,1,completed,0.6745
115,0.745,0.745,0.92,1,completed,0.6854
116,0.6499999999999999,0.16249999999999998,0.75,4,completed,0.6962
117,0.7,0.35,0.88,2,completed,0.7067
118,0.745,0.745,0.92,1,completed,0.717
119,0.73,0.365,0.88,2,completed,0.7271
120,0.745,0.745,0.92,1,completed,0.7369
121,0.745,0.745,0.92,1,completed,0.7466
122,0.75,0.375,0.88,2,completed,0.756
123,0.745,0.745,0.92,1,completed,0.7651
124,0.73,0.365,0.88,2,completed,0.774
125,0.745,0.745,0.92,1,completed,0.7827
126,0.745,0.745,0.92,1,completed,0.7911
127,0.745,0.745,0.92,1,completed,0.7993
128,0.745,0.745,0.92,1,completed,0.8072
129,0.75,0.375,0.88,2,completed,0.8149
130,0.705,0.235,0.81,3,completed,0.8224
131,0.745,0.745,0.92,1,completed,0.8296
132,0.745,0.745,0.92,1,completed,0.8366
133,0.745,0.745,0.92,1,completed,0.8434
134,0.745,0.745,0.92,1,completed,0.8499
135,0.745,0.745,0.92,1,completed,0.8562
136,0.745,0.745,0.92,1,completed,0.8623
137,0.745,0.745,0.92,1,completed,0.8681
138,0.745,0.745,0.92,1,completed,0.8738
139,0.745,0.745,0.92,1,completed,0.8792
140,0.745,0.745,0.92,1,completed,0.8844
141,0.745,0.745,0.92,1,completed,0.8895
142,0.745,0.745,0.92,1,completed,0.8943
143,0.745,0.745,0.92,1,completed,0.899
144,0.745,0.745,0.92,1,completed,0.9035
145,0.745,0.745,0.92,1,completed,0.9077
146,0.745,0.745,0.92,1,completed,0.9119
147,0.745,0.745,0.92,1,completed,0.9158
148,0.745,0.745,0.92,1,completed,0.9196
149,0.745,0.745,0.92,1,completed,0.9233
150,0.745,0.745,0.92,1,completed,0.9267
151,0.745,0.745,0.92,1,completed,0.9301
152,0.745,0.745,0.92,1,completed,0.9333
153,0.745,0.745,0.92,1,completed,0.9363
154,0.745,0.745,0.92,1,completed,0.9393
155,0.745,0.745,0.92,1,completed,0.9421
156,0.745,0.745,0.92,1,completed,0.9448
157,0.705,0.235,0.81,3,completed,0.9473
158,0.745,0.745,0.92,1,completed,0.9498
159,0.745,0.745,0.92,1,completed,0.9521
160,0.745,0.745,0.92,1,completed,0.9544
161,0.745,0.745,0.92,1,completed,0.9565
162,0.745,0.745,0.92,1,completed,0.9585
163,0.745,0.745,0.92,1,completed,0.9605
164,0.745,0.745,0.92,1,completed,0.9624
165,0.745,0.745,0.92,1,completed,0.9641
166,0.745,0.745,0.92,1,completed,0.9658
167,0.745,0.745,0.92,1,completed,0.9675
168,0.745,0.745,0.92,1,completed,0.969
169,0.745,0.745,0.92,1,completed,0.9705
170,0.745,0.745,0.92,1,completed,0.9719
171,0.745,0.745,0.92,1,completed,0.9732
172,0.745,0.745,0.92,1,completed,0.9745
173,0.73,0.365,0.88,2,completed,0.9757
174,0.745,0.745,0.92,1,completed,0.9769
175,0.745,0.745,0.92,1,completed,0.978
176,0.745,0.745,0.92,1,completed,0.979
177,0.745,0.745,0.92,1,completed,0.9801
178,0.745,0.745,0.92,1,completed,0.981
179,0.745,0.745,0.92,1,completed,0.9819
180,0.745,0.745,0.92,1,completed,0.9828
181,0.745,0.745,0.92,1,completed,0.9836
182,0.745,0.745,0.92,1,completed,0.9844
183,0.745,0.745,0.92,1,completed,0.9852
184,0.745,0.745,0.92,1,completed,0.9859
185,0.745,0.745,0.92,1,completed,0.9866
186,0.745,0.745,0.92,1,completed,0.9872
187,0.745,0.745,0.92,1,completed,0.9878
188,0.745,0.745,0.92,1,completed,0.9884
189,0.745,0.745,0.92,1,completed,0.989
190,0.745,0.745,0.92,1,completed,0.9895
191,0.745,0.745,0.92,1,completed,0.99
192,0.745,0.745,0.92,1,completed,0.9905
193,0.745,0.745,0.92,1,completed,0.991
194,0.745,0.745,0.92,1,completed,0.9914
195,0.745,0.745,0.92,1,completed,0.9918
196,0.745,0.745,0.92,1,completed,0.9922
197,0.745,0.745,0.92,1,completed,0.9926
198,0.745,0.745,0.92,1,completed,0.993
199,0.745,0.745,0.92,1,completed,0.9933
